Time,Profle,PWM,bus1dev1,bus1dev0,PlateAverage,error
0.013331,40.00024687037037,0.0,21.25,22.0,21.625,18.37524687037037
0.423983,40.007851537037034,4.9284411661506965e-08,21.5,22.0,21.75,18.257851537037034
0.831552,40.01539911111111,1.9427684527280576e-07,21.5,22.0,21.75,18.26539911111111
1.237515,40.02291694444445,4.370878392240876e-07,21.25,22.0,21.625,18.397916944444447
1.64546,40.030471481481484,7.710369411704495e-07,21.25,22.25,21.75,18.280471481481484
2.34162,40.04336333333333,1.1597789291628595e-06,21.5,22.25,21.875,18.168363333333332
2.750382,40.050933,2.062827332903761e-06,21.5,22.0,21.75,18.300933
3.156611,40.05845575925926,2.6612509091871417e-06,21.5,22.25,21.875,18.18345575925926
3.565811,40.066033537037036,3.3987105594216513e-06,21.5,22.0,21.75,18.316033537037036
3.974608,40.07360385185185,4.1829031885419956e-06,21.5,22.25,21.875,18.19860385185185
4.383023,40.081167092592594,5.0543600718661225e-06,21.5,22.25,21.875,18.206167092592594
4.790884,40.088720074074075,5.981102494004655e-06,21.5,22.25,21.875,18.213720074074075
5.199929,40.096294981481485,7.059866833048062e-06,21.5,22.0,21.75,18.346294981481485
5.607169,40.10383646296296,8.247580246142222e-06,21.25,22.0,21.625,18.47883646296296
6.015196,40.11139251851852,9.426139424266638e-06,21.25,22.25,21.75,18.36139251851852
6.423684,40.11895711111111,1.0652096865333545e-05,21.5,22.25,21.875,18.243957111111108
6.831317,40.12650587037037,1.1988843839288246e-05,21.5,22.25,21.875,18.251505870370373
7.238271,40.134042055555554,1.351993158517746e-05,21.5,22.0,21.75,18.384042055555554
7.645303,40.141579685185185,1.5178014775242984e-05,21.25,22.0,21.625,18.516579685185185
8.364002,40.154888925925924,1.6811136912498956e-05,21.25,22.0,21.625,18.529888925925924
8.773265,40.16246787037037,1.9662753355677377e-05,21.5,22.25,21.875,18.28746787037037
9.182495,40.170046203703706,2.15044313702259e-05,21.5,22.25,21.875,18.295046203703706
9.585119,40.1775022037037,2.3410878287143816e-05,21.5,22.25,21.875,18.302502203703703
9.990771,40.185014277777775,2.5433457458574614e-05,21.5,22.25,21.875,18.310014277777775
10.401562,40.19262151851852,2.774088226940973e-05,21.5,22.0,21.75,18.44262151851852
10.809977,40.20018475925926,2.9718450826741047e-05,21.5,22.25,21.875,18.32518475925926
11.217601,40.20773335185185,3.1980691529461294e-05,21.5,22.25,21.875,18.33273335185185
11.62687,40.21531240740741,3.434270776502282e-05,21.5,22.25,21.875,18.34031240740741
12.035417,40.222878092592595,3.680730972107332e-05,21.5,22.25,21.875,18.347878092592595
12.445945,40.230480462962966,3.9619650991884695e-05,21.5,22.0,21.75,18.480480462962966
12.854186,40.238040481481484,4.193848215871479e-05,21.5,22.25,21.875,18.363040481481484
13.262095,40.24559435185185,4.461982426140444e-05,21.5,22.25,21.875,18.37059435185185
13.670483,40.253157092592595,4.740357839819432e-05,21.5,22.25,21.875,18.378157092592595
14.386276,40.26641251851852,5.0219600154566575e-05,21.5,22.25,21.875,18.39141251851852
14.795171,40.27398464814815,5.550500170183511e-05,21.5,22.25,21.875,18.39898464814815
15.203899,40.28155368518519,5.860283840547561e-05,21.5,22.25,21.875,18.406553685185187
15.610087,40.28907568518518,6.179041497629493e-05,21.5,22.25,21.875,18.414075685185182
16.020803,40.29668153703704,6.556136186500257e-05,21.5,22.0,21.75,18.54668153703704
16.429305,40.30424638888889,6.849027123941171e-05,21.5,22.25,21.875,18.42924638888889
16.838875,40.31183101851852,7.193194358643586e-05,21.5,22.25,21.875,18.436831018518518
17.240924,40.31927637037037,7.540835256685136e-05,21.5,22.25,21.875,18.444276370370368
17.650213,40.32685579629629,7.960554080736961e-05,21.5,22.0,21.75,18.576855796296293
18.058584,40.33441822222222,8.338584109722198e-05,21.5,22.0,21.75,18.58441822222222
