Time,Profle,PWM,bus1dev1,bus1dev0,Plate Average,error
0.06458,25.0,0.0,22.0,22.5,22.25,2.75
0.469132,25.0,1.000602320456722e-05,22.25,22.5,22.375,2.625
0.870491,25.0,1.8650250591189695e-05,22.25,22.5,22.375,2.625
1.272207,25.0,2.751413432467823e-05,22.25,22.5,22.375,2.625
1.67363,25.0,3.6667748650024155e-05,22.25,22.5,22.375,2.625
2.32732,25.0,4.44473471912382e-05,22.25,22.5,22.375,2.625
2.729034,25.0,6.08791397810697e-05,22.25,22.5,22.375,2.625
3.13054,25.0,7.355288291999454e-05,22.0,22.5,22.25,2.75
3.532436,25.0,8.009963409342682e-05,22.25,22.5,22.375,2.625
3.935461,25.0,9.007922427146367e-05,22.25,22.5,22.375,2.625
4.336481,25.0,9.271826711891237e-05,22.25,22.5,22.375,2.625
4.739342,25.0,0.00011015571021622206,22.25,22.5,22.375,2.625
5.146263,25.0,0.00011515101104722048,22.25,22.75,22.5,2.5
5.547875,25.0,0.00012494885827413842,22.25,22.75,22.5,2.5
5.947944,25.0,0.0001411320159925871,22.25,22.5,22.375,2.625
6.358203,25.0,0.00015196304328107826,22.25,22.5,22.375,2.625
6.75861,25.0,0.00016922239663760111,22.0,22.5,22.25,2.75
7.166712,25.0,0.00017411402869754264,22.25,22.5,22.375,2.625
7.566895,25.0,0.00018530380893922496,22.25,22.5,22.375,2.625
7.975338,25.0,0.00019665176691070912,22.25,22.5,22.375,2.625
8.385904,25.0,0.00020819744339712213,22.25,22.5,22.375,2.625
8.795109,25.0,0.00021985642791066804,22.25,22.5,22.375,2.625
9.196164,34.80819999999998,0.000996171221120321,22.25,22.5,22.375,12.433199999999978
9.606434,55.32170000000001,0.003560527955269863,22.0,22.5,22.25,33.07170000000001
10.014951,75.0,0.008580713521876341,22.0,22.5,22.25,52.75
10.426025,75.0,0.01222785336568355,22.25,22.5,22.375,52.625
10.826036,75.0,0.015854821388307114,22.25,22.5,22.375,52.625
11.227564,75.0,0.019550822959397706,22.25,22.5,22.375,52.625
11.638177,75.0,0.02339652310049534,22.25,22.5,22.375,52.625
12.367482,75.0,0.02744518195446342,22.25,22.5,22.375,52.625
12.777818,75.0,0.03437083496059219,22.25,22.5,22.375,52.625
13.18779,75.0,0.038429275912407745,22.25,22.5,22.375,52.625
13.596053,75.0,0.042529757813905444,22.25,22.5,22.375,52.625
14.005193,75.0,0.046697548186010476,22.25,22.5,22.375,52.625
14.407098,75.0,0.05084992089141121,22.25,22.5,22.375,52.625
14.809002,75.0,0.05505726859319009,22.25,22.5,22.375,52.625
15.219726,75.0,0.05941956048447769,22.25,22.5,22.375,52.625
15.629123,75.0,0.06382835626364124,22.25,22.5,22.375,52.625
16.035908,75.0,0.06826392596632488,22.25,22.5,22.375,52.625
16.439666,75.0,0.07272351859727141,22.25,22.5,22.375,52.625
16.848617,75.0,0.07730232611194268,22.25,22.5,22.375,52.625
17.250408,75.0,0.08185409653079308,22.25,22.5,22.375,52.625
17.660086,75.0,0.08655711974721393,22.25,22.5,22.375,52.625
18.391881,75.0,0.09164262833297694,22.25,22.75,22.5,52.5
18.802286,75.0,0.09997374330016878,22.25,22.5,22.375,52.625
19.210264,75.0,0.10487863861129257,22.25,22.5,22.375,52.625
19.620288,75.0,0.10965380134902553,22.25,22.75,22.5,52.5
20.031043,75.0,0.11490789940285503,22.25,22.5,22.375,52.625
20.431237,75.0,0.1199118367243237,22.25,22.5,22.375,52.625
20.841108,75.0,0.12483532602845948,22.25,22.75,22.5,52.5
21.250295,75.0,0.13003747777457567,22.25,22.75,22.5,52.5
21.659972,75.0,0.13530961288525123,22.25,22.75,22.5,52.5
22.06104,75.0,0.14052118806610042,22.25,22.75,22.5,52.5
22.461166,75.0,0.14606002475484584,22.25,22.5,22.375,52.625
22.862719,75.0,0.1511231188425917,22.25,22.75,22.5,52.5
23.271227,75.0,0.1568972803295533,22.25,22.5,22.375,52.625
23.680705,75.0,0.1621619099473979,22.25,22.75,22.5,52.5
